zip,Rate,Amount
36301,0.975952,49124.0
35957,1.009791,53859.0
35630,1.155194,44168.0
36467,0.930693,41654.0
35235,0.950461,57244.0
35968,0.940442,44902.0
35007,1.357894,86994.0
35233,0.986149,52207.0
35660,0.942821,42510.0
36360,1.128581,50032.0
36116,1.821866,53973.0
36106,1.002684,71202.0
36801,0.991755,58256.0
35233,1.239583,52207.0
35058,0.941741,59950.0
36420,0.934696,50126.0
35801,1.709481,103125.0
35903,1.935478,50063.0
35555,0.984791,50598.0
35901,0.760899,47826.0
36330,0.891175,71589.0
35205,0.973234,49194.0
35042,0.987815,50238.0
35768,0.94639,47612.0
36340,0.970389,48681.0
35010,1.086592,48744.0
36207,1.203054,70090.0
35611,0.999676,54606.0
36535,1.105494,67013.0
35601,1.169286,50216.0
35594,0.94903,47946.0
36617,1.111142,39922.0
36608,1.156321,64372.0
35401,0.99496,30031.0
36426,1.044695,50065.0
36532,0.9426,86026.0
35160,1.024314,50007.0
35211,1.054609,34286.0
35243,1.020828,99063.0
36067,0.954634,64837.0
36732,1.371343,45029.0
36607,1.348918,40681.0
35022,1.091108,79084.0
36701,0.922679,40466.0
36460,0.983241,35000.0
36081,1.041452,42005.0
36507,0.976136,47919.0
35125,1.081892,63823.0
35801,1.01413,103125.0
35216,0.991361,73125.0
36608,1.044639,64372.0
36117,1.116682,72237.0
35233,1.104196,52207.0
36037,0.960938,48571.0
35661,0.990537,66726.0
35653,0.963286,52454.0
35150,0.955404,41328.0
36867,1.024881,46847.0
36502,0.982539,41136.0
35045,1.18151,62078.0
36109,0.945631,61059.0
99508,1.020971,72751.0
99645,0.958618,97069.0
99801,0.955573,101141.0
99701,1.291533,73551.0
99508,0.956776,72751.0
99669,1.205745,84133.0
99508,1.671529,72751.0
85006,1.464778,60742.0
85712,1.126433,48185.0
86326,0.911758,58250.0
85745,0.85929,68608.0
85711,0.919537,52358.0
86301,1.685964,71962.0
85364,0.980856,57497.0
85020,0.9799,78412.0
85122,0.974028,64243.0
85008,0.888609,61369.0
86001,0.879356,62587.0
85013,1.428491,68895.0
85015,0.934006,52585.0
85224,1.005213,90886.0
85006,0.942618,60742.0
85251,0.890758,89151.0
85635,1.006815,60822.0
86401,0.987682,64087.0
85351,1.145454,50812.0
85901,1.320269,60313.0
85719,0.915337,41086.0
85202,1.122868,66582.0
86403,0.984888,57531.0
86504,0.968009,47227.0
86045,1.081659,49559.0
85016,1.151625,85085.0
85032,0.985954,74331.0
86503,1.138529,30313.0
85741,0.83702,71812.0
85260,1.027603,103854.0
85206,0.779579,69986.0
85306,1.174732,82060.0
85027,1.193496,73255.0
85375,0.828235,63977.0
85308,1.123567,95512.0
86442,0.866152,45486.0
85054,0.8064,89099.0
85206,1.15075,69986.0
85206,0.841196,69986.0
85015,0.887423,52585.0
85395,0.982145,107980.0
85713,0.899392,50264.0
85008,0.946125,61369.0
85755,0.839676,109368.0
85037,1.170515,81919.0
86426,0.950333,65186.0
85297,1.071252,132684.0
85209,0.883659,80498.0
85234,1.053542,118012.0
85255,0.733606,143567.0
85012,0.871198,80242.0
85140,0.992564,98668.0
85008,0.758362,61369.0
85338,0.944774,99345.0
85212,0.979082,123404.0
85085,0.886025,122138.0
85286,0.962304,118759.0
85629,0.950737,106039.0
72761,0.895799,69620.0
72830,0.970926,41768.0
72703,0.735812,60232.0
72205,1.229175,62888.0
72758,0.734427,94605.0
72143,0.828468,55522.0
71953,0.983033,52355.0
72205,0.944646,62888.0
72601,0.879282,54059.0
72335,0.967199,39045.0
72401,1.612038,43412.0
72764,0.892445,61569.0
72653,0.948539,48096.0
72034,1.256975,61675.0
72117,1.226081,41670.0
72450,0.958517,56390.0
72801,0.881276,42363.0
71701,0.942161,52153.0
71655,0.949371,40878.0
72901,1.606116,42568.0
72903,0.786925,60186.0
71753,0.954461,45714.0
72315,1.156332,54297.0
71603,0.895355,51019.0
72160,0.976831,58372.0
72104,0.980224,51492.0
71901,1.171046,52410.0
72015,0.807686,64550.0
71730,0.845541,50845.0
72703,0.922018,60232.0
72205,0.947997,62888.0
72205,0.98913,62888.0
72405,1.224182,84722.0
72211,0.843167,80808.0
72120,0.961956,75853.0
72118,0.757013,47266.0
72032,1.144613,61452.0
72019,0.840292,86025.0
94545,0.913242,115258.0
95501,0.740095,55076.0
94010,0.633702,191758.0
94117,0.911883,175096.0
94558,0.720857,109444.0
94574,1.201071,139779.0
95642,1.123401,85000.0
95819,1.066857,127500.0
92501,0.811556,83027.0
91950,0.856739,63858.0
92103,0.936052,96887.0
91942,0.88896,81262.0
95521,0.974266,54324.0
95966,0.740285,63948.0
93301,0.805668,40725.0
95128,0.948868,122647.0
95926,0.857937,62334.0
91342,1.044334,95480.0
96080,0.906208,63365.0
94609,1.052587,106698.0
92243,0.96343,55890.0
94109,1.08476,112201.0
